INFO: HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 200 OK"
LLM preflight
  Provider: OpenAI
  Model: gpt-5.6-sol
  Authentication: verified
2026-08-13 16:52:00,527 [WARNING] pipeline: Stage 3 group failed: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}
2026-08-13 16:52:00,527 [ERROR] pipeline: Stage 3 gave up after 1 attempt(s): attempt 1: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}
2026-08-13 16:52:01,332 [INFO] httpx: HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 429 Too Many Requests"
2026-08-13 16:52:01,386 [INFO] openai._base_client: Retrying request to /responses in 0.494619 seconds
2026-08-13 16:52:02,574 [INFO] httpx: HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 429 Too Many Requests"
2026-08-13 16:52:02,575 [INFO] openai._base_client: Retrying request to /responses in 0.924543 seconds
2026-08-13 16:52:04,212 [INFO] httpx: HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 429 Too Many Requests"
2026-08-13 16:52:04,232 [WARNING] pipeline: Stage 3 group failed: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}
2026-08-13 16:52:04,232 [ERROR] pipeline: Stage 3 gave up after 1 attempt(s): attempt 1: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}
2026-08-13 16:52:04,856 [INFO] httpx: HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 429 Too Many Requests"
2026-08-13 16:52:04,888 [INFO] openai._base_client: Retrying request to /responses in 0.395850 seconds
2026-08-13 16:52:05,924 [INFO] httpx: HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 429 Too Many Requests"
2026-08-13 16:52:05,973 [INFO] openai._base_client: Retrying request to /responses in 0.990835 seconds
2026-08-13 16:52:07,627 [INFO] httpx: HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 429 Too Many Requests"
2026-08-13 16:52:07,647 [WARNING] pipeline: Stage 3 group failed: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}
2026-08-13 16:52:07,647 [ERROR] pipeline: Stage 3 gave up after 1 attempt(s): attempt 1: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}
2026-08-13 16:52:08,513 [INFO] httpx: HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 429 Too Many Requests"
2026-08-13 16:52:08,514 [INFO] openai._base_client: Retrying request to /responses in 0.471236 seconds
2026-08-13 16:52:09,538 [INFO] httpx: HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 429 Too Many Requests"
2026-08-13 16:52:09,545 [INFO] openai._base_client: Retrying request to /responses in 0.987648 seconds
2026-08-13 16:52:11,381 [INFO] httpx: HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 429 Too Many Requests"
2026-08-13 16:52:11,382 [WARNING] pipeline: Stage 3 group failed: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}
2026-08-13 16:52:11,383 [ERROR] pipeline: Stage 3 gave up after 1 attempt(s): attempt 1: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}
2026-08-13 16:52:12,816 [INFO] httpx: HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 429 Too Many Requests"
2026-08-13 16:52:12,832 [INFO] openai._base_client: Retrying request to /responses in 0.454351 seconds
2026-08-13 16:52:14,145 [INFO] httpx: HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 429 Too Many Requests"
2026-08-13 16:52:14,146 [INFO] openai._base_client: Retrying request to /responses in 0.802332 seconds
2026-08-13 16:52:15,716 [INFO] httpx: HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 429 Too Many Requests"
2026-08-13 16:52:15,743 [WARNING] pipeline: Stage 3 group failed: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}
2026-08-13 16:52:15,743 [ERROR] pipeline: Stage 3 gave up after 1 attempt(s): attempt 1: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}
2026-08-13 16:52:16,415 [INFO] httpx: HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 429 Too Many Requests"
2026-08-13 16:52:16,443 [INFO] openai._base_client: Retrying request to /responses in 0.431350 seconds
2026-08-13 16:52:17,525 [INFO] httpx: HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 429 Too Many Requests"
2026-08-13 16:52:17,526 [INFO] openai._base_client: Retrying request to /responses in 0.959676 seconds
2026-08-13 16:52:19,330 [INFO] httpx: HTTP Request: POST https://api.openai.com/v1/responses "HTTP/1.1 429 Too Many Requests"
2026-08-13 16:52:19,352 [WARNING] pipeline: Stage 3 group failed: Error code: 429 - {'error': {'message': 'You have no credits remaining. Add credits to continue using the API at https://platform.openai.com/settings/organization/billing/.', 'type': 'insufficient_quota', 'param': None, 'code': 'credit_balance_exhausted'}}
